RunOrder,Trail,Paper Type,Rotor Length,Leg Length,Leg Width ,Paper Clip On,Flight Time
1,1,Light,6,8,3,Yes,1.97
2,2,Light,6,8,3,Yes,1.95
3,3,Light,6,8,3,Yes,1.98
4,4,Light,6,8,3,Yes,1.96
5,5,Light,6,8,3,Yes,1.97
6,1,Heavy,8,12,5,Yes,1.61
7,2,Heavy,8,12,5,Yes,1.63
8,3,Heavy,8,12,5,Yes,1.65
9,4,Heavy,8,12,5,Yes,1.61
10,5,Heavy,8,12,5,Yes,1.62
11,1,Light,8,12,3,Yes,1.84
12,2,Light,8,12,3,Yes,1.86
13,3,Light,8,12,3,Yes,1.80
14,4,Light,8,12,3,Yes,1.84
15,5,Light,8,12,3,Yes,1.84
16,1,Light,6,12,3,NO,1.55
17,2,Light,6,12,3,NO,1.54
18,3,Light,6,12,3,NO,1.54
19,4,Light,6,12,3,NO,1.55
20,5,Light,6,12,3,NO,1.57
21,1,Light,6,8,5,NO,2.10
22,2,Light,6,8,5,NO,2.11
23,3,Light,6,8,5,NO,2.12
24,4,Light,6,8,5,NO,2.13
25,5,Light,6,8,5,NO,2.12
26,1,Heavy,8,8,5,NO,1.72
27,2,Heavy,8,8,5,NO,1.72
28,3,Heavy,8,8,5,NO,1.73
29,4,Heavy,8,8,5,NO,1.78
30,5,Heavy,8,8,5,NO,1.75
31,1,Light,8,8,3,NO,2.30
32,2,Light,8,8,3,NO,2.32
33,3,Light,8,8,3,NO,2.28
34,4,Light,8,8,3,NO,2.28
35,5,Light,8,8,3,NO,2.26
36,1,Heavy,6,12,3,NO,1.22
37,2,Heavy,6,12,3,Yes,1.18
38,3,Heavy,6,12,3,Yes,1.18
39,4,Heavy,6,12,3,Yes,1.25
40,5,Heavy,6,12,3,Yes,1.21
41,1,Heavy,8,8,3,Yes,1.59
42,2,Heavy,8,8,3,Yes,1.58
43,3,Heavy,8,8,3,Yes,1.58
44,4,Heavy,8,8,3,Yes,1.56
45,5,Heavy,8,8,3,Yes,1.61
46,1,Light,8,8,5,Yes,1.96
47,2,Light,8,8,5,Yes,1.99
48,3,Light,8,8,5,Yes,1.94
49,4,Light,8,8,5,Yes,1.90
50,5,Light,8,8,5,Yes,1.95
51,1,Light,8,12,5,NO,1.88
52,2,Light,8,12,5,NO,1.92
53,3,Light,8,12,5,NO,1.89
54,4,Light,8,12,5,NO,1.86
55,5,Light,8,12,5,NO,1.88
56,1,Heavy,8,12,3,NO,1.63
57,2,Heavy,8,12,3,NO,1.65
58,3,Heavy,8,12,3,NO,1.62
59,4,Heavy,8,12,3,NO,1.63
60,5,Heavy,8,12,3,NO,1.64
61,1,Heavy,6,8,5,Yes,1.61
62,2,Heavy,6,8,5,Yes,1.62
63,3,Heavy,6,8,5,Yes,1.63
64,4,Heavy,6,8,5,Yes,1.60
65,5,Heavy,6,8,5,Yes,1.60
66,1,Light,6,12,5,Yes,1.57
67,2,Light,6,12,5,Yes,1.56
68,3,Light,6,12,5,Yes,1.55
69,4,Light,6,12,5,Yes,1.56
70,5,Light,6,12,5,Yes,1.52
71,1,Heavy,6,8,3,NO,1.58
72,2,Heavy,6,8,3,NO,1.63
73,3,Heavy,6,8,3,NO,1.61
74,4,Heavy,6,8,3,NO,1.60
75,5,Heavy,6,8,3,NO,1.58
76,1,Heavy,6,12,5,NO,1.59
77,2,Heavy,6,12,5,NO,1.61
78,3,Heavy,6,12,5,NO,1.57
79,4,Heavy,6,12,5,NO,1.58
80,5,Heavy,6,12,5,NO,1.56
